epoch,accuracy,loss,val_accuracy,val_loss
0,0.38665929436683655,1.317610263824463,0.44092220067977905,1.248276710510254
1,0.6382507681846619,0.9827739000320435,0.6916426420211792,0.8823750615119934
2,0.7852200269699097,0.5941597819328308,0.6887608170509338,0.7960039973258972
3,0.846388041973114,0.42413032054901123,0.7089337110519409,0.7925622463226318
4,0.8801549673080444,0.3366457521915436,0.6887608170509338,0.8229719400405884
5,0.9034043550491333,0.28197216987609863,0.680115282535553,0.8748372197151184
6,0.9216717481613159,0.23359520733356476,0.6541786789894104,0.9692405462265015
7,0.9355106353759766,0.19574101269245148,0.680115282535553,0.9890720844268799
8,0.9510102272033691,0.16313400864601135,0.6772334575653076,1.0554821491241455
9,0.9559922218322754,0.14355704188346863,0.6714697480201721,1.140571117401123
10,0.9606974720954895,0.13214795291423798,0.6685879230499268,1.1697906255722046
11,0.9651259183883667,0.1159307137131691,0.6628242135047913,1.2123037576675415
12,0.9690008163452148,0.10822270810604095,0.6657060384750366,1.3344004154205322
13,0.9701079726219177,0.09893670678138733,0.6772334575653076,1.3131648302078247
14,0.9717686176300049,0.09241261333227158,0.6743515729904175,1.3463693857192993
15,0.9695543646812439,0.09155040234327316,0.6685879230499268,1.4183746576309204
16,0.973706066608429,0.08589524775743484,0.6743515729904175,1.4311803579330444
17,0.975089967250824,0.07823913544416428,0.6743515729904175,1.509035348892212
18,0.972045361995697,0.08295942842960358,0.6685879230499268,1.5132523775100708
19,0.9753667116165161,0.07592352479696274,0.6599423885345459,1.5458887815475464
20,0.9761970639228821,0.07372145354747772,0.6628242135047913,1.5541644096374512
21,0.9773041605949402,0.06714427471160889,0.6599423885345459,1.590890645980835
22,0.9761970639228821,0.06802881509065628,0.6657060384750366,1.5834399461746216
23,0.9761970639228821,0.06569914519786835,0.6599423885345459,1.6638164520263672
24,0.9789648652076721,0.06300006806850433,0.6657060384750366,1.6908602714538574
